frame,orientation_xy_error
0,-0.00021455696199760476
1,1.9249753282232128e-05
2,-0.0007675171004478679
3,5.566755879142366e-05
4,-0.0015173562265066295
5,7.704727272589807e-05
6,-0.00237501512039606
7,7.31363318210083e-05
8,-0.0032941790259764995
9,5.4984173935090425e-05
10,-0.004283321598826678
11,2.9129394793896347e-05
12,-0.005398890455347509
13,-1.83164952729168e-05
14,-0.006654608263413136
15,-8.714176051776694e-05
16,-0.00801877431179674
17,-0.00016678701588421528
18,-0.009482127218946045
19,-0.0002552316761645862
20,-0.011034107972956557
21,-0.00034865432538409825
22,-0.012667622169281157
23,-0.0004427399435169015
24,-0.014376613852105402
25,-0.0005333753828382066
26,-0.0161541517891496
27,-0.0006168313462614365
28,-0.01799357684177528
29,-0.0006897074159621744
30,-0.01988829316098273
31,-0.000749015137108708
32,-0.021831686642916102
33,-0.0007922624926570609
34,-0.02381711179327734
35,-0.0008174787536238818
36,-0.025837867129747987
37,-0.000823206846826142
38,-0.027887235034811404
39,-0.0008084758011723729
40,-0.029958530416959547
41,-0.0007727530313626884
42,-0.032045165629022807
43,-0.0007158946334121349
44,-0.03414070792443925
45,-0.0006380878107135679
46,-0.036238936301792014
47,-0.0005398000345303307
48,-0.038333894525486675
49,-0.0004217316336250157
50,-0.04041994037573233
51,-0.00028477485286820575
52,-0.04249178778281372
53,-0.00012998104392500623
54,-0.044544533208188276
55,4.1474147282451856e-05
56,-0.04657367019691933
57,0.00022832323989408263
58,-0.048575093742931556
59,0.0004292343263656801
60,-0.05054509788284427
61,0.0006428347627117056
62,-0.05248036760039567
63,0.0008677315318636242
64,-0.05437796335468358
65,0.0011025304596925308
66,-0.05623530019753497
67,0.001345853831655949
68,-0.058050127785955946
69,0.0015963541966840873
70,-0.059820511903028895
71,0.0018527229738245236
72,-0.06154480923744038
73,0.0021137028613467876
74,-0.06322163917346328
75,0.002378102167617829
76,-0.06484986756210157
77,0.0026447916025942324
78,-0.06642859460803512
79,0.0029127033608541616
80,-0.06795713635539206
81,0.0031808393111304426
82,-0.06943500784776786
83,0.0034482736850071473
84,-0.07086190845478386
85,0.003714153051540219
86,-0.07223770743714474
87,0.003977695234929693
88,-0.07356243039353115
89,0.004238188960807192
90,-0.07483624773573061
91,0.0044949923800692146
92,-0.07605946292884666
93,0.004747530924163349
94,-0.07723250254687392
95,0.00499529521247993
96,-0.07835590635715853
97,0.005237838294088442
98,-0.07943031299807177
99,0.005474774716201709
100,-0.0804564488582889
101,0.005705779829222463
102,-0.08143512335493959
103,0.005930582934414496
104,-0.0823672232878987
105,0.0061489598491240565
106,-0.08325370490056026
107,0.006360734739357268
108,-0.08409558427884095
109,0.006565781299167131
110,-0.08489393264934637
111,0.006764015411386621
112,-0.08564987160688405
113,0.006955388856299708
114,-0.08636456504843415
115,0.00713989262568215
116,-0.08703921151907526
117,0.007317553473819815
118,-0.08767504009746273
119,0.00748842695235823
120,-0.08827330756118174
121,0.0076525966955146105
122,-0.08883529363197219
123,0.007810170978221916
124,-0.08936229590448122
125,0.007961280937810105
126,-0.08985562479103812
127,0.008106078765701174
128,-0.09031660137828434
129,0.008244733687566952
130,-0.09074655583235405
131,0.008377428412884944
132,-0.09114682498422046
133,0.008504358606276428
134,-0.09151874918267616
135,0.008625731589689762
136,-0.09186367034461596
137,0.00874176306083553
138,-0.09218293131369319
139,0.008852674620582306
140,-0.0924778740901479
141,0.008958692857355458
142,-0.09274983780784722
143,0.00906004870930624
144,-0.09300015735583421
145,0.009156975274820222
146,-0.09323016258277453
147,0.009249705998946077
148,-0.09344117735909095
149,0.009338473613185712
150,-0.09363451900788801
151,0.009423508698570997
152,-0.09381149812805269
153,0.009505039329701767
154,-0.09397341673905213
155,0.009583290334788226
156,-0.09412156867738991
157,0.009658481479351963
158,-0.09425724103051175
159,0.009730825493459013
160,-0.09438170912627326
161,0.009800529900161179
162,-0.09449623266027826
163,0.009867803492578011
164,-0.09460205615559697
165,0.009932846067319761
166,-0.09470041075672538
167,0.009995843382981791
168,-0.09479251334177455
169,0.010056975738587765
170,-0.09487956537191326
171,0.010116417518427739
172,-0.09496274964601752
173,0.010174336620589974
174,-0.09504322647993628
175,0.01023089403086917
176,-0.09512213089797
177,0.010286243227673308
178,-0.09520056980537994
179,0.010340530480522778
180,-0.09527961995480302
181,0.010393895171351064
182,-0.09536032297508396
183,0.0104464696470609
184,-0.09544368171192305
185,0.010498380082552857
186,-0.0955306556379699
187,0.010549746662239054
188,-0.09562215591080912
189,0.010600683293416683
190,-0.09571904167388748
191,0.010651298942984277
192,-0.09582211393644886
193,0.01070169772026715
194,-0.09593210974448528
195,0.010751978823471174
196,-0.09604969680109979
197,0.010802237769698323
198,-0.09617546919818727
199,0.010852567203659624
200,-0.09630994159199456
201,0.010903057343258873
202,-0.09645354317345625
203,0.010953796144513106
204,-0.09660661370289801
205,0.011004870326756191
206,-0.09676939923818809
207,0.011056366837547444
208,-0.09694204823810422
209,0.01110837331284524
210,-0.0971246096217657
211,0.011160978907186385
212,-0.09731702988819943
213,0.011214275428486128
214,-0.0975191504498158
215,0.011268360331677852
216,-0.09773070779102971
217,0.01132333910778891
218,-0.09795133733871811
219,0.011379320867490276
220,-0.09818057714881626
221,0.011436422046635378
222,-0.09841787051280443
223,0.01149477170096313
224,-0.09866257322904769
225,0.01155451151048587
226,-0.09891396224258854
227,0.011615795484328808
228,-0.09917124572162749
229,0.011678789148642763
230,-0.09943357412173628
231,0.01174367829674503
232,-0.0997000515057249
233,0.011810669418339205
234,-0.09996974964877664
235,0.011879986604890851
236,-0.1002417231718752
237,0.011951875102123045
238,-0.10051502581505603
239,0.012026601878480411
240,-0.10078872703584718
241,0.012104456505518798
242,-0.10106192894280451
243,0.012185751106568892
244,-0.10133378340113629
245,0.012270819934114875
246,-0.1016035082893233
247,0.012360019054723637
248,-0.10187040395445782
249,0.012453724743474032
250,-0.10213386664418234
251,0.012552330913634583
252,-0.10239340127116868
253,0.01265624688335752
254,-0.10264863331418964
255,0.012765894390267471
256,-0.10289931771029107
257,0.012881704091013774
258,-0.1031453440210433
259,0.013004107765434507
260,-0.10338674118090871
261,0.013133531516983727
262,-0.10362367953785961
263,0.013270398738583976
264,-0.10385646594896511
265,0.013415122899429317
266,-0.10408554113414388
267,0.013568097736989805
268,-0.10431147201167167
269,0.013729692853581497
270,-0.10453494181045447
271,0.01390024664134192
272,-0.10475673794754177
273,0.014080065758820107
274,-0.10497773461783243
275,0.014269422784142886
276,-0.10519887415799827
277,0.014468552080664804
278,-0.10542114687182896
279,0.014677644548141782
280,-0.1056455694165023
281,0.0148968433371519
282,-0.10587316147785478
283,0.015126244622307205
284,-0.10610492274367075
285,0.015365898039140688
286,-0.10634181247621897
287,0.015615808345255685
288,-0.10658472962699451
289,0.01587593674018555
290,-0.10683449670999297
291,0.0161462008612807
292,-0.10709185146628171
293,0.016426479320444883
294,-0.10735743569121375
295,0.01671661199155887
296,-0.10763179236346404
297,0.01701640134451251
298,-0.10791536548942786
299,0.017325629288924622
300,-0.10820850050756173
301,0.017644058357179936
302,-0.10851145313112348
303,0.01797142808209839
304,-0.10882439432666585
305,0.018307463092541967
306,-0.10914741842830367
307,0.018651876292237208
308,-0.1094805523009329
309,0.019004371790299828
310,-0.10982376356051662
311,0.0193646476255162
312,-0.11017696910822014
313,0.01973239740276241
314,-0.11054004339897494
315,0.020107311805389477
316,-0.11091282495162345
317,0.02048907904775958
318,-0.11129512252813721
319,0.02087738500646255
320,-0.11168672061398285
321,0.021271915285219226
322,-0.11208738388400269
323,0.021672354303083514
324,-0.11249686037398143
325,0.02207838423970614
326,-0.11291488342472307
327,0.022489685886055287
328,-0.11334117510121824
329,0.022905938153768617
330,-0.11377544681029392
331,0.023326816779534635
332,-0.11421739897854359
333,0.023751993546373786
334,-0.11466672093288324
335,0.024181138111971787
336,-0.11512309138006904
337,0.024613917329592713
338,-0.11558617819209843
339,0.02504999362433246
340,-0.11605564039192973
341,0.025489026748401183
342,-0.11653112694052127
343,0.025930670165440543
344,-0.11701227393462725
345,0.02637456358540233
346,-0.11749870003979371
347,0.026820345419799663
348,-0.11799000636645533
349,0.027267655201325226
350,-0.11848578175068786
351,0.027716122917353175
352,-0.1189855991315337
353,0.028165370983800602
354,-0.11948901532500555
355,0.028615014282394675
356,-0.1199955706758876
357,0.02906466009613101
358,-0.12050478779163613
359,0.029513907920763003
360,-0.12101617207161534
361,0.029962348926160974
362,-0.12152921047727883
363,0.03040956586617628
364,-0.12204337077144589
365,0.030855132844565123
366,-0.12255810237622707
367,0.03129861524669973
368,-0.12307283530852493
369,0.0317395695748971
370,-0.12358698121353166
371,0.03217754347476654
372,-0.12409993307807797
373,0.03261207573491065
374,-0.12461106456009084
375,0.03304269595464645
376,-0.12511973128375078
377,0.03346892533450891
378,-0.12562526939765706
379,0.033890277338733836
380,-0.1261269950828168
381,0.03430625817946517
382,-0.1266242058101149
383,0.034716367371410886
384,-0.1271161808887764
385,0.03512009912589847
386,-0.12760218107689764
387,0.03551694399418179
388,-0.12808144797273527
389,0.03590638951569097
390,-0.12855320480047655
391,0.03628792200028866
392,-0.12901665691192274
393,0.036661028511297614
394,-0.12947099120937341
395,0.037025198959592914
396,-0.12991537725542093
397,0.03737992958748265
398,-0.1303489682607499
399,0.03772472338405573
400,-0.13077090018348483
401,0.03805908992216806
402,-0.13118029049528596
403,0.038382554968920804
404,-0.13157624031385107
405,0.03869466235783054
406,-0.131957837924076
407,0.03899497164594212
408,-0.1323241582820265
409,0.039283063054478415
410,-0.1326742643750153
411,0.039558539979483436
412,-0.1330072091357483
413,0.03982103102901255
414,-0.13332203723129493
415,0.04007019246323745
416,-0.13361778890504084
417,0.040305710324168256
418,-0.13389350255491594
419,0.04052730119619655
420,-0.13414821600880272
421,0.04073471473895971
422,-0.13438096990374784
423,0.04092773517506487
424,-0.13459081271120507
425,0.04110618156569166
426,-0.1347768034753029
427,0.04126990887683157
428,-0.13493801615934148
429,0.041418808631569305
430,-0.13507354378971234
431,0.041552809431814886
432,-0.1351825017384351
433,0.04167187777848313
434,-0.13526403331610126
435,0.04177601805367303
436,-0.13531731265313396
437,0.041865272282066296
438,-0.13534154690560704
439,0.041939721763980316
440,-0.1353359817876651
441,0.04199948694617596
442,-0.1352999096344546
443,0.042044722794881584
444,-0.13523266974043338
445,0.04207561879887942
446,-0.13513364787323912
447,0.042092403518639854
448,-0.13500228081773893
449,0.0420953424030585
450,-0.1348380613144925
451,0.042084732902974195
452,-0.13464053951218827
453,0.04206090150048711
454,-0.13440931793405078
455,0.04202420805385617
456,-0.13414405426346154
457,0.041975043930434754
458,-0.13384446114465245
459,0.04191382164824034
460,-0.13351030361707972
461,0.04184097889389941
462,-0.13314140349752807
463,0.041756969101848805
464,-0.13273763561921598
465,0.04166225662939988
466,-0.13229892191931297
467,0.041557321934726624
468,-0.13182523122154205
469,0.041442652822271726
470,-0.13131657524667711
471,0.04131873979197657
472,-0.1307730052844477
473,0.041186072419305726
474,-0.13019461081440797
475,0.041045135958485135
476,-0.12958151711737528
477,0.04089640647702167
478,-0.12893388221991217
479,0.04074034684410599
480,-0.1282518945350391
481,0.040577404188293295
482,-0.12753577209773762
483,0.04040800571746015
484,-0.12678576006903905
485,0.04023255584308573
486,-0.12600212683683376
487,0.04005143655839526
488,-0.12518516846993955
489,0.03986500341312539
490,-0.1243352075386865
491,0.03967357939497249
492,-0.12345258661410426
493,0.03947746172698793
494,-0.12253766722509463
495,0.03927692310666353
496,-0.12159083269193541
497,0.03907220580868377
498,-0.12061248897417107
499,0.038863522963013694
500,-0.11960306341159996
501,0.038651059973153254
502,-0.11856300623599461
503,0.03843497690631921
504,-0.1174927920612282
505,0.03821540936144486
