frame,x,y,z
0,1.0,0.0,0.0
1,0.9975458009914154,0.0003820602730610451,-0.010976658443147611
2,0.9948153041789093,0.0008583631564472346,-0.01914656240890084
3,0.9923359208869823,0.001075450632607911,-0.025817336007998307
4,0.9901799988434165,0.0008720463504774506,-0.03154113987415922
5,0.9881335767886806,0.0005987361192963964,-0.03601031219290553
6,0.9861545660998314,0.00030076985145688486,-0.039373426601777374
7,0.9842520343506411,-2.3304060167594007e-05,-0.04187023638635284
8,0.9824508330437453,-0.0003748019405334421,-0.043712015840387856
9,0.9807557370553804,-0.0007619126583849122,-0.04505119703910024
10,0.9791606724976318,-0.0011813961195878417,-0.04597963495211398
11,0.9776581938806687,-0.001626636600176252,-0.046563067366688804
12,0.9762394694389842,-0.0020892226711569594,-0.04684847306884752
13,0.9748947243199807,-0.0025598432857016342,-0.0468684860631429
14,0.9736132722453772,-0.003029645020230446,-0.04664550773546224
15,0.9723841681349369,-0.0034910075513569397,-0.04619512266066697
16,0.9711966525066513,-0.003937927814686696,-0.04552907429043952
17,0.9700406506380944,-0.004366179534556674,-0.04465764051416783
18,0.9689073293982772,-0.004773098069999323,-0.043591332648164186
19,0.9677896338293962,-0.0051576621287793036,-0.042340725682237096
20,0.966681839953935,-0.005520582226020318,-0.04092080166608527
21,0.9655784835413064,-0.005862891743914475,-0.03934934544711469
22,0.9644748193983737,-0.006185642899267827,-0.03764595372833472
23,0.9633669385915203,-0.00649009243233988,-0.035831338242825396
24,0.96225140376828,-0.006777406738504256,-0.033925887922627504
25,0.9611253907861964,-0.007048662510243055,-0.03194950796367523
26,0.9599863978988001,-0.007305491524564179,-0.029921187032551016
27,0.9588322254708632,-0.007549030184421739,-0.02785881584192874
28,0.9576612851666605,-0.007780019496660396,-0.02577819791121853
29,0.9564723585935841,-0.007999321968584116,-0.02369330576869218
30,0.9552645338593725,-0.00820775357756856,-0.02161681545880753
31,0.9540370331802328,-0.008406104608517127,-0.01956009455313798
32,0.9527891396602807,-0.00859502532427376,-0.01753335431956171
33,0.9515201745647398,-0.008775155685756464,-0.015545766683026782
34,0.9502293502524698,-0.008946918566820361,-0.013605155415341469
35,0.9489158735964165,-0.009110682372623014,-0.011718511942458841
36,0.9475788969100621,-0.009266719344815986,-0.009891788795559292
37,0.9462174902809496,-0.009415214955190812,-0.008130373122076887
38,0.9448306353308205,-0.009556207115386156,-0.006438239593959742
39,0.9434173768586046,-0.009689798032947693,-0.004818905189726455
40,0.9419766429976091,-0.009815922973253215,-0.003274952240654261
41,0.9405074689617356,-0.0099345193315824,-0.0018083647938971117
42,0.9390088734143035,-0.01004557030292482,-0.00042080978775642093
43,0.9374798461259647,-0.010148860317986024,0.0008869792971203534
44,0.9359194479820432,-0.010244269450337356,0.0021149189942100835
45,0.934326821151844,-0.010331697288395522,0.0032629287254540363
46,0.9327010879272839,-0.010410958146922012,0.004331666681702413
47,0.9310414764955661,-0.010481919539838484,0.005322049955754862
48,0.9293472721054291,-0.01054447223204307,0.006235134898075819
49,0.927617810393806,-0.010598423459306968,0.0070727485735794515
50,0.9258525237232891,-0.010643696532851105,0.007836606849410538
51,0.9240509560614791,-0.010680207519834109,0.008528369083029579
52,0.9222125536854974,-0.010707812872751184,0.00915035868310611
53,0.9203369692189135,-0.010726437820681905,0.009704694716884177
54,0.9184238649126841,-0.010736076883491767,0.010194044718341302
55,0.9164730557950048,-0.010736701056750498,0.010620714223374392
56,0.9144843711988849,-0.010728262672635946,0.010987244845449258
57,0.9124576834753134,-0.010710798616118247,0.011295990340239528
58,0.9103928994980272,-0.010684293370701581,0.011549904623003447
59,0.9082901834070316,-0.010648864219793133,0.011751312700917654
60,0.9061495479204518,-0.010604578632604583,0.011902771467012078
61,0.9039711576042356,-0.010551468624576418,0.012006818352334893
62,0.9017551528480338,-0.010489655995221952,0.012066056826599513
63,0.8995017621879174,-0.010419291109256771,0.012082755907882171
64,0.897211267802894,-0.010340527177881323,0.012059568866463071
65,0.8948840074765901,-0.010253518956449844,0.011998690568790535
