frame,x,y
0,6.356748374700496e-05,-1.979544548501567e-06
1,0.0002789261614109423,-1.4007457997330162e-05
2,0.0006541976487331623,-3.593086663172001e-05
3,0.0011452301145185209,-5.439409163839358e-05
4,0.0017204492478839985,-5.8857388689688585e-05
5,0.002371981535595879,-4.288768522684975e-05
6,0.0030921938285373113,-1.0059573349625676e-06
7,0.0038701025254404904,7.099086612547029e-05
8,0.0046918798275718265,0.0001758111330423397
9,0.0055430562519142605,0.00031461504089738376
10,0.006409926213846691,0.000487206624334183
11,0.007280012134152664,0.0006922160035937993
12,0.008142405644043754,0.0009273128714167875
13,0.008987990187300643,0.0011894331233062766
14,0.009809543510080888,0.0014750044337340908
15,0.010601716382428987,0.0017801671973488092
16,0.011360912408801181,0.002100974679175332
17,0.012085088716464444,0.002433564249704791
18,0.012773525770954048,0.002774296451266793
19,0.013426561439189535,0.0031198532441818767
20,0.014045346421453,0.0034672929370327065
21,0.014631638761717577,0.003814058459472087
22,0.015187603222991968,0.004157974144837362
23,0.01571564951491247,0.004497228597405602
24,0.01621831528914357,0.004830343973809543
25,0.01669816413200687,0.005156148088715037
26,0.017157703756361914,0.005473742976289263
27,0.017599324005063564,0.0057824731769695725
28,0.018025255511540855,0.006081893430147782
29,0.018437545953685318,0.006371741553713225
30,0.018838046225615447,0.006651910259529784
31,0.01922840854937608,0.006922419732233713
32,0.019610092576766172,0.0071833917943109685
33,0.019984376191569682,0.0074350257805438046
34,0.020352371487887343,0.007677577002732372
35,0.02071503918492041,0.007911338605403398
36,0.021073202173679653,0.008136626128161841
37,0.021427568159011263,0.008353763782991274
38,0.021778737963505605,0.008563074895647083
39,0.022127216369166022,0.008764874086715483
40,0.022473427412848326,0.008959459606531715
41,0.02281771376815349,0.00914710988334806
42,0.02316035093914179,0.00932807830706973
43,0.023501555396445304,0.00950258974467146
44,0.023841482191561247,0.009670841305665636
45,0.024180233555111036,0.009833000453113715
46,0.02451786376670081,0.009989203279589819
47,0.0248543783106693,0.0101395558795109
48,0.025189736354072765,0.010284134645605455
49,0.025523853461022643,0.010422986238588493
50,0.025856597275711574,0.010556129439597849
51,0.02618779427399248,0.010683554700841468
52,0.02651723603378185,0.01080522492639682
53,0.026844672342184198,0.010921079185689249
54,0.027169810770497148,0.011031033662908382
55,0.027492317182922058,0.011134981376522673
56,0.0278118164946324,0.011232793626825666
57,0.02812790048720365,0.011324321408970607
58,0.028440117220600535,0.011409398382416218
59,0.02874796767125874,0.01148784191223984
60,0.029050917832271102,0.01155945125023041
61,0.029348397155264893,0.011624010802392129
62,0.029639799604268106,0.011681293103564434
63,0.029924481587194462,0.011731058596929432
64,0.030201762406123076,0.011773057496927223
65,0.0304709283816178,0.01180703089490673
66,0.030731233777384626,0.01183271172981551
67,0.030981900195371396,0.011849827141040797
68,0.03122212023571245,0.011858099165446738
69,0.03145105488976598,0.011857246515420642
70,0.031667833859222255,0.011846986414757331
71,0.03187156147549324,0.011827034645243081
72,0.03206131793220862,0.011797107090914322
73,0.03223616000166613,0.011756921902594907
74,0.03239512313539211,0.011706200740375271
75,0.03253722422124157,0.011644670238794704
76,0.03266146116639684,0.01157206357937588
77,0.03276681417822517,0.011488121362712971
78,0.03285225095146497,0.01139259250813879
79,0.032916728420895075,0.011285235631317312
80,0.032959195073901965,0.011165820300484155
81,0.032978592129930595,0.011034127873515303
82,0.03297386292197565,0.010889951013247265
83,0.03294395943617588,0.01073309362280493
84,0.03288784452348062,0.01056337210809491
85,0.03280449737089964,0.010380614719542929
86,0.03269292901481749,0.010184657356135923
87,0.032552213337450106,0.009975340702801075
88,0.03238146959354582,0.009752514086688523
89,0.03217987459821331,0.009516029956479967
90,0.03194671459258726,0.009265731449378022
91,0.03168140472440962,0.0090014520833073
92,0.03138350953343914,0.008723015720765776
93,0.031052772131143318,0.008430231065852412
94,0.030689150831085275,0.008122889647551815
95,0.030292860933633092,0.0078007683209956975
96,0.029864400034589195,0.007463641367370502
97,0.02940456771560411,0.007111299016045251
98,0.028914504436712344,0.006743568879543167
99,0.02839571587225908,0.006360351372367999
100,0.02785006264636301,0.00596166806001244
101,0.027279770481591865,0.005547706120732808
102,0.026687402337653834,0.005118866845851879
103,0.02607582340999929,0.004675805639026292
104,0.025448221371337214,0.004219447660755133
105,0.024808072751375882,0.003750999973534084
106,0.024159099629287726,0.0032719477516517594
107,0.023505265431485133,0.002784021002790134
108,0.022850775586966916,0.0022891491234128306
109,0.022200047979066606,0.0017894134509977785
110,0.021557689800975038,0.0012869911698456626
111,0.020928479492069624,0.0007840941100362267
112,0.020317243348838433,0.00028291004466525775
113,0.019729706275274282,-0.00021462546779468436
114,0.019170859066715142,-0.0007064631221489065
115,0.018644560258957017,-0.0011904549811497722
116,0.018155677773149248,-0.001664968601673683
117,0.017709013267910686,-0.0021286386512612498
118,0.017308687161719096,-0.0025801934783592985
119,0.016958279224645535,-0.003018573804982583
120,0.016660752166521065,-0.003442920498862733
121,0.016418498554524617,-0.0038525640367422357
122,0.016233194008915014,-0.004246992945364367
123,0.01610595243448454,-0.004625891014498936
124,0.016037392055844108,-0.004989132371322051
125,0.016027450695082112,-0.005336707443286336
126,0.016075551395497437,-0.005668740367289987
127,0.01618071494897573,-0.005985494090657969
128,0.016341612684533432,-0.006287340858347948
129,0.01655663247003797,-0.006574745166841431
130,0.01682392480399402,-0.006848243342493186
131,0.017141515129524984,-0.007108429057031137
132,0.017507300930271835,-0.007355916033082537
133,0.017918910248941024,-0.007591299919312274
134,0.01837406890067381,-0.007815216376440486
135,0.018870671942230955,-0.008028311528287112
136,0.01940648808862815,-0.008231144762094349
137,0.019979276813357944,-0.008424231562467474
138,0.02058684047658096,-0.008608068861034686
139,0.021227034244725402,-0.008783111443156605
140,0.021897766061395582,-0.00894977622706689
141,0.02259698836884348,-0.00910844642044117
142,0.02332270370505553,-0.009259474862303278
143,0.02407296273426383,-0.00940318790530477
144,0.02484586966992869,-0.00953989035579775
145,0.025639585044592433,-0.009669868826188912
146,0.02645231860265189,-0.009793393454440516
147,0.02728233441615506,-0.009910721613501622
148,0.028127948489789736,-0.010022100114677836
149,0.028987523674935133,-0.010127766062652845
150,0.0298594818554424,-0.010227950143807913
151,0.030742303530285446,-0.01032287662172496
152,0.03163452535736836,-0.010412762251930162
153,0.03253474282656468,-0.010497817502802343
154,0.03344160467578347,-0.010578246223256885
155,0.03435381607543799,-0.010654246359575079
156,0.03527013963767414,-0.010726010032016618
157,0.03618939486496022,-0.010793722812138586
158,0.03711045669983779,-0.010857563643514947
159,0.03803225414747803,-0.010917704447051837
160,0.038953769522641665,-0.010974310277605648
161,0.039874037008646654,-0.01102753907269874
162,0.04079214109252147,-0.011077541153852732
163,0.04170721573435753,-0.01112445963553208
164,0.042618442647049365,-0.011168430030322453
165,0.04352504867923281,-0.01120958002382593
166,0.04442630494482251,-0.01124802979954086
167,0.04532152441531493,-0.011283891583482206
168,0.04621006544611787,-0.011317270082831767
169,0.04709132307326028,-0.011348261660580805
170,0.04796472229126005,-0.011376954610696327
171,0.04882972580071376,-0.011403430804432716
172,0.04968583361340623,-0.011427764726019599
173,0.050532576641683855,-0.01145002253717704
