frame,orientation_xy_error
0,-3.823585002293935e-06
1,1.2211623697233411e-09
2,-1.4118294224441627e-05
3,4.470040416963918e-09
4,-2.770609855329902e-05
5,8.642238038252708e-09
6,-4.250728644550897e-05
7,1.3037727018714471e-08
8,-5.702171312990029e-05
9,1.7161243880540606e-08
10,-7.019881681728056e-05
11,2.0655825665233545e-08
12,-8.133510714695756e-05
13,2.327810300641006e-08
14,-8.999231965894402e-05
15,2.4870017343841252e-08
16,-9.59323804613506e-05
17,2.534843518966465e-08
18,-9.906604200883306e-05
19,2.4686144455913303e-08
20,-9.941255213095465e-05
21,2.2872739371405447e-08
22,-9.706817477777774e-05
23,1.9933083369238752e-08
24,-9.218184745752735e-05
25,1.591875570459078e-08
26,-8.493647848022078e-05
27,1.0893522467719635e-08
28,-7.553477269821861e-05
29,4.922420510227268e-09
30,-6.418862668465682e-05
31,-1.9240198318438724e-09
32,-5.111130470560965e-05
33,-9.57558222987699e-09
34,-3.651136448211865e-05
35,-1.7974033551079136e-08
36,-2.0580264438679527e-05
37,-2.7096672943238657e-08
38,-3.490371837792648e-06
39,-3.692244637808779e-08
40,1.460589010994584e-05
41,-4.7395506424109064e-08
42,3.35665014794666e-05
43,-5.8434012603247756e-08
44,5.3256354167658545e-05
45,-6.994847233264558e-08
46,7.354589148371081e-05
47,-8.185116552061819e-08
48,9.431085982282584e-05
49,-9.406237278872434e-08
50,0.00011543206404965622
51,-1.064918375321578e-07
52,0.0001367939310367471
53,-1.1904488883047559e-07
54,0.00015828571814161007
55,-1.3162937068744012e-07
56,0.00017980370228189697
57,-1.441769148392053e-07
58,0.00020125424537367374
59,-1.5663285481125298e-07
60,0.0002225547402006154
61,-1.6896087029290866e-07
62,0.00024363373777633223
63,-1.8113820856751803e-07
64,0.00026443049487525776
65,-1.931460268448031e-07
66,0.00028489425055891834
67,-2.0496147086537356e-07
68,0.00030498331473168813
69,-2.1657479228677225e-07
70,0.00032466405344918015
71,-2.2798838000336944e-07
72,0.00034390990456019085
73,-2.3920315269475153e-07
74,0.00036270039678890624
75,-2.5022123376384955e-07
76,0.00038102030322100634
77,-2.6104776317545494e-07
78,0.0003988588374070244
79,-2.7168834966685137e-07
80,0.00041620890155649515
81,-2.821489300377725e-07
82,0.00043306648206430136
83,-2.9243258280501643e-07
84,0.00044943007737425415
85,-3.025486277651331e-07
86,0.0004653002605216425
87,-3.125086259997919e-07
88,0.00048067927333724376
89,-3.223165562887053e-07
90,0.000495570657380017
91,-3.3197551106906697e-07
92,0.0005099789955242267
93,-3.414945717168509e-07
94,0.0005239096538788283
95,-3.5087996056877213e-07
96,0.0005373686204446865
97,-3.6014224623215467e-07
98,0.0005503623422942626
99,-3.6928265772715114e-07
100,0.0005628975688561029
101,-3.7830514354063e-07
102,0.0005749812747099677
103,-3.872239680200768e-07
104,0.0005866205572532577
105,-3.960448572537428e-07
106,0.0005978226042642945
107,-4.0475987588778826e-07
108,0.000608594642020247
109,-4.1338098003468263e-07
110,0.0006189438716463049
111,-4.2192300587525164e-07
112,0.0006288774655702342
113,-4.3038218614613744e-07
114,0.0006384025297638935
115,-4.3876297952898446e-07
116,0.0006475261197298362
117,-4.470656140042189e-07
118,0.0006562552281052472
119,-4.552865859345142e-07
120,0.0006645967561965063
121,-4.6343073012447214e-07
122,0.0006725575341729098
123,-4.715088482629332e-07
124,0.0006801443034479077
125,-4.795231296761406e-07
126,0.0006873637464614345
127,-4.874732377685078e-07
128,0.0006942224852510143
129,-4.953585752350795e-07
130,0.0007007270611926155
131,-5.03179518456252e-07
132,0.0007068839600441048
133,-5.109366413601845e-07
134,0.0007126995992267836
135,-5.186339591609529e-07
136,0.0007181803553687041
137,-5.262703083609811e-07
138,0.0007233325682242213
139,-5.338426886677977e-07
140,0.0007281625175146652
141,-5.41352940891004e-07
142,0.0007326764491366862
143,-5.488011265222293e-07
144,0.0007368805488087657
145,-5.561822866924378e-07
146,0.000740780975566321
147,-5.634969034906103e-07
148,0.0007443838876882286
149,-5.707473542399086e-07
150,0.0007476953951012368
151,-5.779332520665132e-07
152,0.0007507215808610817
153,-5.850569574188769e-07
154,0.0007534684877201575
155,-5.92114135978087e-07
156,0.0007559421420043071
157,-5.991018831431229e-07
158,0.00075814854964724
159,-6.060159445150489e-07
160,0.0007600936754321892
161,-6.128553357214695e-07
162,0.0007617834597326912
163,-6.196188093550505e-07
164,0.0007632238041850905
165,-6.263032770498875e-07
166,0.0007644205932170914
167,-6.329071888614898e-07
168,0.0007653796897352323
169,-6.394300613348044e-07
170,0.0007661069149750703
171,-6.458665852737903e-07
172,0.0007666080622021773
173,-6.522141599498914e-07
174,0.0007668888825444243
175,-6.584771589042028e-07
176,0.0007669551050578368
177,-6.646490518676126e-07
178,0.0007668124322062145
179,-6.707281606606914e-07
180,0.0007664665198198835
181,-6.767175244669298e-07
182,0.000765922989933115
183,-6.826114725145642e-07
184,0.000765187417933673
185,-6.884079867617429e-07
186,0.000764265349991239
187,-6.941070965645772e-07
188,0.0007631622863109492
189,-6.997065435240222e-07
190,0.0007618836764787678
191,-7.052055667253016e-07
192,0.0007604349432855606
193,-7.106009008525443e-07
194,0.0007588214573055713
195,-7.158910357948432e-07
