frame,lin_vel_xyz_error
0,1.0
1,0.0
2,0.9982782920825617
3,2.8826921211859073e-07
4,0.9967140168676865
5,5.70036229811824e-07
6,0.9952467055104205
7,8.799316063836437e-07
8,0.9938597476530514
9,1.1538943578418532e-06
10,0.9925373980332651
11,1.3931367233596658e-06
12,0.9912669589332038
13,1.6317911786264338e-06
14,0.9900382041668244
15,1.843951432149292e-06
16,0.9888429269598495
17,2.09507372328373e-06
18,0.987674505952801
19,2.274601387447233e-06
20,0.9865276561826619
21,2.472567547976892e-06
22,0.9853980878964724
23,2.682831412224791e-06
24,0.984282328408532
25,2.9050195352483183e-06
26,0.9831775407780502
27,3.097973287083498e-06
28,0.9820813363975397
29,3.2973195656302966e-06
30,0.9809917370024188
31,3.4833998900788768e-06
32,0.9799070172206293
33,3.675213810031566e-06
34,0.9788256732020376
35,3.856189672088811e-06
36,0.9777464573832102
37,4.040327265103044e-06
38,0.9766688549542681
39,4.238144554657333e-06
40,0.9755922992055562
41,4.434874250037192e-06
42,0.9745157761542583
43,4.622171960714739e-06
44,0.973438022994906
45,4.797740652588073e-06
46,0.9723576451836147
47,4.958464099487088e-06
48,0.9712731541886636
49,5.108301418998665e-06
50,0.9701830877068433
51,5.25164718905673e-06
52,0.9690859111894513
53,5.371283836140058e-06
54,0.9679799821241607
55,5.472204696921471e-06
56,0.9668638719675303
57,5.565479897433195e-06
58,0.965736321516592
59,5.636720270703408e-06
60,0.9645962367349683
61,5.699218314839739e-06
62,0.9634425834855145
63,5.753678723160139e-06
64,0.9622743854966251
65,5.815446886158175e-06
66,0.9610907256962027
67,5.863620023712513e-06
68,0.9598906327678149
69,5.8962777008011684e-06
70,0.9586731894212703
71,5.927239527940677e-06
72,0.9574374561738568
73,5.961817453616702e-06
74,0.9561824983232846
75,5.989138190422544e-06
76,0.9549074066677387
77,6.020693750306004e-06
78,0.9536111957260477
79,6.046530105336388e-06
80,0.9522929674182741
81,6.07849006625635e-06
82,0.9509517930988952
83,6.10143581332984e-06
84,0.9495867578978524
85,6.124089146906815e-06
86,0.9481969890147359
87,6.147310550501258e-06
88,0.9467815632965904
89,6.178827667912267e-06
90,0.9453396567576585
91,6.1938393017402814e-06
92,0.9438704323133785
93,6.215639544836864e-06
94,0.9423730868253571
95,6.227561103583691e-06
96,0.9408468690460509
97,6.245043126279984e-06
98,0.939291000847462
99,6.260662910922323e-06
100,0.9377048066024405
101,6.263638423761622e-06
102,0.9360876136657006
103,6.26814355586797e-06
104,0.9344387871764007
105,6.283324928951054e-06
106,0.9327577535745051
107,6.286788641462962e-06
108,0.93104392177015
109,6.269386429746239e-06
110,0.9292967999838986
111,6.2804967504264325e-06
112,0.9275159045557886
113,6.279021875073403e-06
114,0.9257007936758315
115,6.278520287241491e-06
116,0.923851076654638
117,6.275899108206758e-06
118,0.9219663591166077
119,6.266734460431261e-06
120,0.9200463331439337
121,6.243526515246169e-06
122,0.9180906973976805
123,6.230620823096563e-06
124,0.9160991911127372
125,6.218347874471336e-06
126,0.914071597292224
127,6.206650504585814e-06
128,0.9120076953116403
129,6.189791706466537e-06
130,0.9099073407188724
131,6.172945382232506e-06
132,0.9077703960864969
133,6.151298220400608e-06
134,0.9055967540418082
135,6.131540976770797e-06
136,0.9033863451728174
137,6.11555037482949e-06
138,0.9011390951839029
139,6.092530741527062e-06
140,0.8988549930246098
141,6.069579827335449e-06
142,0.8965340328452571
143,6.048157732930775e-06
144,0.8941762329698907
145,6.02536668209296e-06
146,0.891781642811293
147,5.992217632055396e-06
148,0.8893503028284516
149,5.969008328830811e-06
150,0.8868823093692964
151,5.938308434624948e-06
152,0.8843777591787925
153,5.91837067321579e-06
154,0.8818367689639279
155,5.895494354156386e-06
156,0.8792594776380932
157,5.873730310336254e-06
158,0.8766460159335009
159,5.848879875030858e-06
160,0.8739965590092158
161,5.821629298991375e-06
162,0.8713112825023333
163,5.797017122109288e-06
164,0.8685903771156784
165,5.769500290457234e-06
166,0.8658340537103499
167,5.741680328416241e-06
168,0.8630425119507547
169,5.712840774657556e-06
170,0.8602159864564622
171,5.687203641842838e-06
172,0.8573547085621485
173,5.648346106784596e-06
174,0.854458929172474
175,5.618862496410722e-06
176,0.8515289085015502
177,5.588786611738545e-06
178,0.8485649017508132
179,5.54906176899082e-06
180,0.8455671837091728
181,5.51719865098504e-06
182,0.8425360383661712
183,5.484682348892704e-06
184,0.8394717542144604
185,5.444986249972254e-06
186,0.8363746334684286
187,5.410519383631363e-06
188,0.833244972972142
189,5.371630159275888e-06
190,0.8300830932940513
191,5.336334496878715e-06
192,0.8268892997797319
193,5.29800981276242e-06
194,0.823663919382735
195,5.2597856150581565e-06
196,0.8204072810972819
197,5.220708366130172e-06
198,0.8171197171520934
199,5.18193518052225e-06
