epoch,frame,episode_length,mean_length,reward,robot_height,ori_w,ori_x,ori_y,ori_z,grav_x,grav_y,grav_z,lin_vel_x,lin_vel_y,lin_vel_z,ang_vel_x,ang_vel_y,ang_vel_z,joint_angle_1,joint_angle_2,joint_angle_3,joint_angle_4,joint_angle_5,joint_angle_6,joint_angle_7,joint_angle_8,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,mpc_sol_com_pos_x,mpc_sol_com_pos_y,mpc_sol_com_pos_z,mpc_sol_com_vel_x,mpc_sol_com_vel_y,mpc_sol_com_vel_z,mpc_sol_com_acc_x,mpc_sol_com_acc_y,mpc_sol_com_acc_z,mpc_sol_pl_pos_x,mpc_sol_pl_pos_y,mpc_sol_pl_pos_z,mpc_sol_pl_vel_x,mpc_sol_pl_vel_y,mpc_sol_pl_vel_z,mpc_sol_pl_acc_x,mpc_sol_pl_acc_y,mpc_sol_pl_acc_z,mpc_sol_pr_pos_x,mpc_sol_pr_pos_y,mpc_sol_pr_pos_z,mpc_sol_pr_vel_x,mpc_sol_pr_vel_y,mpc_sol_pr_vel_z,mpc_sol_pr_acc_x,mpc_sol_pr_acc_y,mpc_sol_pr_acc_z,mpc_sol_theta,mpc_sol_omega,mpc_sol_alpha,prev_action_1,prev_action_2,prev_action_3,prev_action_4,prev_action_5,prev_action_6,prev_action_7,prev_action_8,user_cmd_vx,user_cmd_omega,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8
0,0,128,128.0,0.0077090131293182,0.39563823,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.42456326,-0.0001374402,0.67272717,0.0,0.5,-1.0,0.0,0.0,0.5,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.9998869,0.99999815,-0.72593486,0.9884516,-0.903631,-1.0,-1.0
0,1,128,128.0,0.0072132469289466,0.39566976,0.9999999,0.00011158378,0.00042108426,1.3002261e-05,-0.000841834,0.00022326432,0.99999964,0.0,0.0,0.0,-4.4684744,-1.7628844,29.865389,-0.00021152331,0.4990992,-0.9997117,-0.00076144043,-0.00021353473,0.49946052,-1.0002056,-0.0009157876,-0.2118517,-0.9093667,0.30734068,-0.7732278,-0.21373466,-0.549222,-0.18440522,-0.92872655,0.0046360777,-2.0800768e-07,0.39563823,0.00035075276,-4.1656364e-08,0.010571792,0.17537637,-2.0828182e-05,5.2858963,-2.1908143e-06,0.28349838,-0.0035332136,0.0010059152,3.1983676e-09,0.0,0.5029576,1.5991839e-06,0.0,-3.8800383e-07,-0.28350163,-0.003532836,0.0010059152,3.1983676e-09,0.0,0.5029576,1.5991839e-06,0.0,3.1795598e-06,0.0,0.0,-1.0,-0.9998869,0.99999815,-0.72593486,0.9884516,-0.903631,-1.0,-1.0,0.0,0.0,-1.0,-0.9748719,1.0,-0.850312,-0.99975634,-0.47536296,-1.0,-1.0
0,2,128,128.0,0.0065053175818004,0.39575857,0.99999857,0.00059737504,0.0015624744,6.1689054e-05,-0.003124689,0.0011949075,0.9999944,-0.00903906,-0.0035050167,0.039995838,-2.3400202,2.188123,25.41729,-0.0011682316,0.4965341,-0.998555,-0.0033916621,-0.0011786843,0.49822113,-1.000998,-0.0036849645,-0.74501914,-1.6627508,0.86477786,-1.8664314,-0.7513598,-0.69780904,-0.59120303,-1.8510991,0.0046093552,-1.4676954e-05,0.39573342,-0.008590615,-0.0046767914,0.038580418,0.15611258,0.073981956,3.48353,-0.00014187736,0.28350103,-0.0034330806,-0.04570015,0.0005051751,0.025890017,0.47300208,0.0020691513,-3.4305208,-0.00021621534,-0.28350118,-0.0034231963,-0.068552926,-0.000147476,0.028999,1.741682,0.0031534026,-3.4305208,-0.00013110737,-0.040304676,2.2375307,-1.0,-0.9748719,1.0,-0.850312,-0.99975634,-0.47536296,-1.0,-1.0,0.0,0.0,-1.0,-0.97396636,1.0,0.1706693,-0.97793216,0.9608915,-1.0,-1.0
0,3,128,128.0,0.0048885985484764,0.39588386,0.9999943,0.0016033638,0.002970539,0.0002036585,-0.0059402967,0.0032079064,0.99997723,-0.013902268,0.00091694255,0.07112442,1.8099538,1.6565892,14.20591,-0.0031811225,0.49288255,-0.9964572,-0.0066876886,-0.0032045983,0.4976036,-1.0027634,-0.008675874,-1.2679609,-1.9945968,1.2460794,-1.439114,-1.274719,0.07362265,-1.1600245,-3.149258,0.0045646825,-2.6305272e-05,0.39587262,-0.017567895,-0.0053113173,0.060812686,0.14321133,0.087212615,1.9778739,-0.00041884973,0.28350794,-0.003296132,-0.106297724,0.0020054427,0.04431535,0.82021856,0.007911849,-5.8828845,-0.00059451826,-0.28350076,-0.0032727025,-0.14431685,-7.522557e-05,0.04981198,2.9376233,0.010720216,-5.8828845,-0.0003098186,-0.06705254,3.7343988,-1.0,-0.97396636,1.0,0.1706693,-0.97793216,0.9608915,-1.0,-1.0,0.0,0.0,-1.0,-0.96273047,1.0,-0.27888513,-0.9552774,0.969824,-1.0,-1.0
0,4,128,128.0,0.003595747254263,0.39603332,0.9999857,0.003128995,0.0043107,0.0004783507,-0.008618307,0.00626254,0.99994326,-0.010505881,0.0043748985,0.07980531,2.334553,1.651118,13.57746,-0.00623789,0.48868668,-0.99350554,-0.009908445,-0.006365498,0.49851623,-1.0057484,-0.016260862,-1.7899913,-2.2054203,1.7152308,-1.7881662,-1.887701,0.83537227,-1.8180794,-4.445401,0.0045199767,-4.037203e-05,0.39602047,-0.020565676,-0.0063105514,0.07059647,0.14095426,0.10303622,1.2129772,-0.00052675285,0.28351358,-0.0031309999,-0.07644378,0.0025886823,0.057926938,-2.2413201,0.024301527,-7.7073445,-0.0012049917,-0.2834998,-0.0030905697,-0.23993123,0.0008518534,0.06539212,6.8486853,0.07745895,-7.7073445,-0.0011961753,-0.28833592,16.0317,-1.0,-0.96273047,1.0,-0.27888513,-0.9552774,0.969824,-1.0,-1.0,0.0,0.0,-1.0,-0.9999993,1.0,0.99865735,0.95836055,0.638189,-1.0,-1.0
0,5,128,128.0,0.0025860943733032,0.39619848,0.9999713,0.00496866,0.005656455,0.000890233,-0.011303684,0.00994737,0.99988663,-0.0060061454,0.007917394,0.08724935,-0.81752396,-2.1033587,12.072888,-0.009915109,0.4837322,-0.9900048,-0.011885696,-0.010205659,0.5005362,-1.009486,-0.026390884,-1.8873224,-2.7531667,1.7945597,-0.19635548,-1.95378,1.1821952,-1.9141389,-5.690994,0.004464873,-6.262504e-05,0.39619556,-0.02503182,-0.009250063,0.08170753,0.13821793,0.17499709,0.3304214,-0.000713652,0.28353012,-0.0029509803,-0.093066856,0.0064574075,0.06343744,-3.3860464,0.04285042,-10.361567,-0.001966885,-0.2835898,-0.0028017678,-0.32002005,-0.026279597,0.10234969,9.2308035,0.13831584,-10.361567,-0.0022100068,-0.40019357,22.2517,-1.0,-0.9999993,1.0,0.99865735,0.95836055,0.638189,-1.0,-1.0,0.0,0.0,-0.9999995,-0.9999973,1.0,0.999474,0.35670522,0.90116024,-1.0,-1.0
0,6,128,128.0,0.0020590088148001,0.39636764,0.99995005,0.0069591394,0.0070249806,0.0014621805,-0.014028957,0.0139383,0.99980444,-0.0077497116,0.0039301077,0.09162872,0.12756427,-0.88653266,10.344072,-0.013887163,0.47777617,-0.9862536,-0.01088088,-0.01428631,0.5034132,-1.0134935,-0.038926657,-2.084863,-3.2062037,1.9638197,1.1954329,-2.1277468,1.6929208,-2.0890424,-6.85049,0.0044164592,-9.187593e-05,0.39636666,-0.024280628,-0.012492493,0.08397749,0.14281018,0.23244943,-0.020562287,-0.00056713534,0.28353724,-0.0027569642,0.0033881445,0.0043038507,0.070976764,-8.342731,0.0054668537,-10.7501545,-0.002912246,-0.28363007,-0.00255704,-0.39979652,-0.017049689,0.10102786,14.068966,0.30209953,-10.7501545,-0.004135233,-0.7109855,39.525337,-0.9999995,-0.9999973,1.0,0.999474,0.35670522,0.90116024,-1.0,-1.0,0.0,0.0,-0.9999645,-0.99999994,1.0,0.9999889,0.9999612,-0.8629718,-1.0,-1.0
0,7,128,128.0,0.0015843693763372,0.3965438,0.99991864,0.009043079,0.008733638,0.0021624798,-0.017426677,0.01812246,0.9996839,-0.0075693573,0.002330111,0.09257988,-6.462903,-0.9467116,18.060284,-0.018044477,0.4702119,-0.98215365,-0.0072693,-0.018515864,0.50612205,-1.0174209,-0.053329602,-2.0724452,-4.3608737,2.142037,2.4124494,-2.1023371,1.0151923,-1.8357722,-7.5563445,0.004370337,-0.00012436372,0.3965379,-0.023259709,-0.0145591805,0.08450098,0.1481362,0.2967832,-0.28632626,-0.00023974672,0.28354463,-0.0025576018,0.09014435,0.0031904078,0.075269945,-12.8494005,-0.07094868,-10.920925,-0.0040187533,-0.2836539,-0.0023155096,-0.47441792,-0.0102226,0.09946704,18.535067,0.48329815,-10.920925,-0.0066633048,-0.99558556,55.346893,-0.9999645,-0.99999994,1.0,0.9999889,0.9999612,-0.8629718,-1.0,-1.0,0.0,0.0,-0.9999757,-1.0,1.0,0.99999833,0.9999768,-0.9732543,-1.0,-1.0
0,8,128,128.0,0.001136904121016,0.39673087,0.9998716,0.011111226,0.011160015,0.0029502949,-0.022251599,0.022285346,0.99950397,-0.020565934,0.0006038028,0.10897478,-6.5361505,-0.79517764,17.658518,-0.0221711,0.46034804,-0.9776814,-0.0013395865,-0.022691447,0.50744265,-1.0208297,-0.06903874,-2.0542197,-5.5054393,2.3352363,3.5144167,-2.0735607,0.30506083,-1.5713011,-8.156051,0.0043234667,-0.00015862557,0.39672583,-0.023175068,-0.015800228,0.089314006,0.14799967,0.33694014,-0.8365798,0.0002524893,0.28355336,-0.002357348,0.16999573,0.0028586318,0.07761493,-16.329252,-0.15738675,-10.692424,-0.005165086,-0.28367323,-0.0020921484,-0.509681,-0.0077482685,0.09346599,21.452213,0.5880884,-10.692424,-0.009551882,-1.1985672,66.62334,-0.9999757,-1.0,1.0,0.99999833,0.9999768,-0.9732543,-1.0,-1.0,0.0,0.0,-0.9986006,-1.0,1.0,0.99999994,0.99999875,-0.99107766,-1.0,-1.0
0,9,128,128.0,0.0007271515986145,0.39692724,0.999804,0.013158972,0.014287227,0.0038282606,-0.028468246,0.026422154,0.9992454,-0.033857763,-0.00082251837,0.12451733,-6.274661,-0.7752245,16.690552,-0.026249323,0.44824198,-0.97280914,0.0066975583,-0.026822362,0.5073736,-1.0237136,-0.08587504,-2.0246763,-6.6026793,2.541087,4.5206003,-2.0573735,-0.3740736,-1.3120457,-8.682719,0.0042770375,-0.00019483654,0.39692304,-0.023003083,-0.016841132,0.09332945,0.1466884,0.3608549,-1.3572122,0.0008970199,0.2835661,-0.0021577005,0.24349913,0.0036340652,0.07874883,-19.432991,-0.24250501,-10.358272,-0.0063685137,-0.2836881,-0.0018838276,-0.537375,-0.0064065335,0.08698559,23.971558,0.6617296,-10.358272,-0.012809167,-1.3769649,76.53204,-0.9986006,-1.0,1.0,0.99999994,0.99999875,-0.99107766,-1.0,-1.0,0.0,0.0,-0.980708,-1.0,1.0,1.0,0.9999997,-0.9946345,-1.0,-1.0
