frame,energy_per_frame
0,16.12595586897813
1,24.97422216379058
2,28.61269222344905
3,29.691637124738406
4,30.02091648695408
5,29.799229623346044
6,29.195984850215087
7,28.253542468758827
8,27.140695590196792
9,25.945056978336947
10,24.701340324582837
11,24.06364497296564
12,24.25602866498335
13,24.28614549035793
14,24.177690812598634
15,23.942361253771228
16,23.603173076314533
17,23.17586535210395
18,22.673976676192183
19,22.76331859933419
20,22.78670398765407
21,22.73101255775255
22,22.60268288211619
23,22.407044094851155
24,22.147203088547446
25,21.81624197288175
26,21.430678656667304
27,20.983243744474354
28,20.47746418712725
29,20.090556157180437
30,20.32014864956443
31,20.83664217547846
32,21.958762716295862
33,23.061993616979354
34,24.13943930389376
35,25.203850019742536
36,26.259447439491332
37,27.308291199682344
38,28.348581227667623
39,29.383851176987704
40,30.413275044276975
41,31.437155600543708
42,32.456399748389984
43,33.46730292453382
44,34.47227148118963
45,35.468557229106196
46,36.45539587477954
47,37.43181477357682
48,38.39298513706471
49,39.33975152430108
50,40.275976058953106
51,41.19155990319358
52,42.0877957932839
53,42.959755770900074
54,43.808798399558746
55,44.62653019798037
56,45.42393089211524
57,46.191406456293564
58,46.92462851960661
59,47.620975644883146
60,48.286623494470646
61,48.91267808761394
62,49.50013289454617
63,50.04433463475673
64,50.54645593560838
65,51.003581608585044
66,51.41416351987398
67,51.77753455453705
68,52.08986494573251
69,52.348644851621486
70,52.56015289064837
71,52.715798087360426
72,52.817040462926116
73,52.85632310394888
74,52.84226036487901
75,52.76760043097376
76,52.63213437836906
77,52.48198976341354
78,52.268761681409885
79,51.99235811157924
80,51.65095789475282
81,51.244466427509664
82,50.772691810877326
83,50.23396729311029
84,49.63006450754414
85,48.96067946508033
86,48.225660298773434
87,47.42741483358799
88,46.56460831556599
89,45.67248939565312
90,44.717408019530964
91,43.70108644956796
92,42.62542614294965
93,41.491739252783375
94,40.30341097394293
95,39.061251241731775
96,37.76759769653681
97,36.42473913455186
98,35.064637979925955
99,34.01926705766108
100,32.96454093840038
101,31.868534100588885
102,30.73298967484304
103,29.558426981335217
104,28.346231803796442
105,27.096497305542286
106,25.810646816444567
107,24.48829598106701
108,23.129700346324572
109,21.735282425597383
110,20.301637817480163
111,18.83998870342106
112,17.94963425639072
113,17.492236793967894
114,17.711973788149315
115,18.331841598753442
116,18.93555294935681
117,19.522458513238107
118,20.09723975788698
119,20.681016727517985
120,21.28370322469987
121,21.911651850250706
122,22.528354263000054
123,23.136974696321477
124,23.735428946635224
125,24.32442546609675
126,24.901958849904425
127,25.47598301856675
128,26.04049257331307
129,26.600651965664213
130,27.154027070083707
131,27.70199226882834
132,28.24878688071795
133,28.832836459513732
134,30.094165343470095
135,31.184292169068165
136,32.28386615674305
137,33.36214582798867
138,34.2433032384168
139,35.436610542372506
140,36.470214665696155
141,37.4997400531668
142,38.49769172238116
143,39.46358811702948
144,40.395292095446514
145,41.31342333876965
146,42.193617261792
147,43.04082273890907
148,43.85227435675458
149,44.627828304943215
150,45.36516563831951
151,46.06386305185324
152,46.72611161834077
153,47.37786819160199
154,48.213782211490184
155,49.00604181474688
156,49.754856731167024
157,50.460154496443565
158,51.12080789352535
159,51.73824324844746
160,52.311069598350606
161,52.84067746505767
162,53.32909063659958
163,53.77428558484689
164,54.17714729707331
165,54.54093740784003
166,54.863339536051555
167,55.15154138320639
168,55.40078036899061
169,55.60286622011806
170,55.787412038119896
171,55.93454359325783
172,56.050168777661376
173,56.13407598622638
174,56.18843072673731
175,56.2145831689555
176,56.21401550888051
177,56.189189491359826
178,56.1403749753689
179,56.06964799743657
180,55.977964866910725
181,55.866091279536036
182,55.73674660767184
183,55.590128640403194
184,55.4280688009069
185,55.251282541921704
186,55.060850533816705
187,54.85892243744088
188,54.64588025669247
189,54.42217586786519
190,54.18422669345321
191,53.949132080815225
192,53.70393248281937
193,53.45405759132147
194,53.198446913995845
195,52.93918571660204
196,52.673757286510245
197,52.410219937364616
198,52.14488266356188
199,51.87824995063768
200,51.61179267436053
201,51.34590052960783
202,51.08241689859251
203,50.82101514765449
204,50.56289499904172
205,50.30806907542973
206,50.05700174171426
207,49.81139943600955
208,49.57071459773336
209,49.335992057304324
210,49.10728535127566
211,48.88495237312769
212,48.67032580464408
213,48.463270200180816
214,48.264292712820904
215,48.073819056897534
216,47.89178824434456
217,47.72009006171219
218,47.557183303988865
