frame,energy_per_frame
0,9.672430792419306
1,15.04099102496097
2,17.552535658488743
3,18.452459486782693
4,18.403850731605747
5,17.814593370191396
6,16.93492189945053
7,15.916850436339171
8,14.851635292321987
9,13.792596459162219
10,12.770540503261667
11,11.797783118198154
12,10.880142908749308
13,10.018439506645603
14,9.285263892407102
15,10.320715047220187
16,11.191161337299699
17,11.909131690702317
18,12.49820521120736
19,12.97810411471881
20,13.361917229569729
21,13.657619520134329
22,13.8704252276158
23,14.004778211677229
24,14.063452636389705
25,14.04898547350323
26,13.961146465708527
27,13.801995676794384
28,13.576623776796707
29,13.290385804951717
30,12.9503834206219
31,12.563367738480355
32,12.135514849147327
33,11.674684360643333
34,11.185979040011016
35,11.055673617557177
36,11.93742171348303
37,12.83681893655119
38,13.752372986076086
39,14.687159111107967
40,15.640016260526519
41,16.611108872813396
42,17.600723000899812
43,18.605602137593255
44,19.62727874949052
45,20.663375303935613
46,21.712622848782758
47,22.774298014350727
48,23.84411916285155
49,24.922773312373728
50,26.007075333410164
51,27.095244916051072
52,28.185884176866352
53,29.274445281105542
54,30.361259994415533
55,31.442925975955248
56,32.51741121318838
57,33.583421197875694
58,34.636267501520706
59,35.67635423884893
60,36.70047283699001
61,37.70665740513927
62,38.69380480490458
63,39.65760836570048
64,40.598617365644316
65,41.51388960264959
66,42.40188452209918
67,43.261751007914256
68,44.08969763094793
69,44.886566316330814
70,45.64982268866717
71,46.37831811587009
72,47.07150160411736
73,47.726258474492184
74,48.343585877141656
75,48.921499160046466
76,49.45919277220497
77,49.95653275831647
78,50.41092039874225
79,50.82364382314138
80,51.19313337889194
81,51.518975776738955
82,51.80126772306851
83,52.0380116491809
84,52.230704511350574
85,52.378262517613166
86,52.480465126644276
87,52.53778628406663
88,52.54861783417714
89,52.514742426708935
90,52.43523589116742
91,52.31035584794331
92,52.14067164330086
93,51.92505596286901
94,51.66580595352613
95,51.361446260642865
96,51.01284491579839
97,50.62087047922914
98,50.184702623324334
99,49.70659389859236
100,49.18553706434078
101,48.62249107244751
102,48.01809236042886
103,47.37269886642788
104,46.687994243204564
105,45.96339062012623
106,45.19990838893797
107,44.39834133447938
108,43.55921559986372
109,42.68418031914099
110,41.77294035368361
111,40.82659503594209
112,39.846073254531944
113,38.832087885253905
114,37.78608762832955
115,36.70812155800405
116,35.59935504276264
117,34.46077356625244
118,33.29321038062814
119,32.09798796207376
120,30.875449760890433
121,29.62673466191135
122,28.352909932608
123,27.054848919102717
124,25.733811197565075
125,24.390338600829132
126,23.02556963282104
127,21.640568428059446
128,20.236284071343114
129,19.00017340373783
130,19.550805113654523
131,20.102348461320194
132,20.654539694029417
133,21.207111409581238
134,21.76003323707703
135,22.3127535489884
136,22.865137766451827
137,23.416857016643085
138,23.967722700959804
139,24.517710988249128
140,25.066271625897745
141,25.613297598155974
142,26.158428330985668
143,26.701543567944512
144,27.242665221764113
145,27.781181929526177
146,28.317044219626368
147,28.849858449667877
148,29.379579056013775
149,29.906229491246563
150,30.429194335162663
151,30.94846414253416
152,31.463623038586874
153,31.97469497714308
154,32.48171708842779
155,32.98405493279877
156,33.48175167355058
157,33.97468067389502
158,34.46232191486993
159,34.94912951313562
160,35.44346719722816
161,35.93203620267738
162,36.41477496486099
163,36.891194847267
164,37.361659830890545
165,37.82560989165677
166,38.28276247153963
167,39.32151934080845
168,40.73265553765543
169,42.128186600308794
170,43.507069995800464
171,44.868460079742974
172,46.212953132819024
173,47.53908385947844
174,48.84690498614579
175,50.135515474213996
176,51.40412343888715
177,52.653484872628965
178,53.882182784474324
179,55.09033653900164
180,56.27717801286376
181,57.44199027083518
182,58.585634066032945
183,59.70682721166558
184,60.805686900594495
185,61.881603601134415
