frame,reward_tracking_lin_vel,reward_tracking_ang_vel,reward_tracking_height,cost_lin_vel_z,cost_ang_vel_xy,cost_joint_velocity,cost_action_nn,cost_action_rate,cost_feet_slip,cost_leg_base_angle,cost_orientation
0,1.1253517471925913e-08,0.05,0.04998478235575755,-0.0,-0.0,-3.122050635730692e-07,-0.0010808203369379044,-0.0,-3.535485298329728e-11,-4.266290459059881e-09,-9.64055106198058e-10
1,1.2489734650580104e-08,0.04999294503718085,0.04998489146553652,-1.0345929112547403e-06,-4.8158234816502075e-06,-1.075562559866394e-06,-0.0013048885157331824,-6.530456448672339e-05,-3.246072481902971e-10,-7.08637306555795e-10,-1.6562142454818287e-08
2,1.3918820404851553e-08,0.0499475369171957,0.049985186904544066,-3.2050058745678667e-06,-2.2243985870438573e-05,-1.9949506009454865e-06,-0.0007889014086686075,-0.00010662789281923324,-7.54433393771194e-10,-2.4041959419092548e-08,-8.296657854084948e-08
3,1.5240224991629298e-08,0.04987997392707172,0.04998562267039342,-6.0301481774240525e-06,-4.30171576315298e-05,-3.0173759985986927e-06,-0.00043208649731241167,-0.00012963578046765178,-1.1855601219501938e-09,-9.013822254734838e-08,-2.3916456733634967e-07
4,1.641208923845149e-08,0.04977094766920085,0.04998616386528913,-9.336169464651317e-06,-5.878702194508163e-05,-4.22983554196979e-06,-0.0003777200763579458,-1.7871645468403585e-05,-1.5849420603404795e-09,-1.9698590424341814e-07,-5.149801582716952e-07
5,1.754328266748561e-08,0.04962313573776797,0.04998678064279798,-1.2572154541685541e-05,-7.256614055592649e-05,-5.7046794344648605e-06,-0.0003578451578505337,-9.965140634449199e-06,-1.9452617929567226e-09,-3.361406614856405e-07,-9.361338398082816e-07
6,1.86549635233542e-08,0.04944934395304022,0.04998744658622268,-1.5497642155907683e-05,-8.449164100326199e-05,-7.499316805049365e-06,-0.00035189746995456517,-6.516675966850016e-06,-2.262414130034714e-09,-4.943004775363219e-07,-1.523198213716851e-06
7,1.9755310443148967e-08,0.049263295597780254,0.04998814037673273,-1.7993963946643215e-05,-9.450107564945809e-05,-9.643144684554587e-06,-0.00035292134271003306,-3.6830494991590967e-06,-3.302528828640359e-08,-6.559805333078785e-07,-2.291073939566293e-06
8,2.08536797005125e-08,0.0490734508958837,0.04998884521932806,-2.009335403223595e-05,-0.00010245659107724017,-1.2246228789861321e-05,-0.00044478249037638307,-6.505979399662465e-06,-1.9750159614025307e-08,-8.053612167475067e-07,-3.260253420298189e-06
9,2.2053277998339665e-08,0.04884198868891473,0.04998954715208911,-2.132004437287355e-05,-0.00011312340193069884,-1.5086694245466112e-05,-0.00038526099524460733,-1.4465163076238241e-05,-1.267594753856731e-08,-9.310883832986281e-07,-4.44094470899343e-06
10,2.3125620905820716e-08,0.04864965561930431,0.04999023617883571,-2.2341534740479627e-05,-0.00011766238097060546,-1.830640077230038e-05,-0.00038308618240989745,-7.480696694983635e-06,-8.835632210603785e-09,-1.0235325569610433e-06,-5.821949244322626e-06
11,2.419493310610268e-08,0.04844129249102011,0.049990905752817415,-2.2954145414858266e-05,-0.00011972329723737381,-2.1806525935855923e-05,-0.00033028729376383126,-4.688431999966269e-06,-6.861139336116818e-09,-1.0783450171648168e-06,-7.401446904796249e-06
12,2.529547062569018e-08,0.04829996319066818,0.049991550189503096,-2.3064225374196148e-05,-0.0001215714158185537,-2.5572044482256222e-05,-0.00031554524321109056,-1.0723757668529288e-06,-5.912417285145383e-09,-1.0990577084656518e-06,-9.179734062688742e-06
13,2.6414225296434205e-08,0.0481829861692885,0.04999216526673258,-2.2786280526150583e-05,-0.0001224637732572419,-2.95662780843044e-05,-0.0002987560292240232,-1.2371451703074854e-06,-5.560622959070763e-09,-1.0884773275520993e-06,-1.1153020755232785e-05
14,2.7557510603921756e-08,0.04809265728624745,0.049992748343209444,-2.217466737584117e-05,-0.00012258197101347432,-3.3748714866665723e-05,-0.0002825337287504226,-1.2871432772953995e-06,-5.626130791652915e-09,-1.050919409702574e-06,-1.3316935456180987e-05
15,2.8731011906652577e-08,0.04802600180755416,0.04999329785926643,-2.128078978418965e-05,-0.00012211550337075912,-3.808474855415482e-05,-0.00026903703110292554,-1.2437416216926067e-06,-5.9887530392556805e-09,-9.91520922465584e-07,-1.5667241223753508e-05
16,2.994191270893973e-08,0.04798039147384126,0.04999381309910296,-2.0156449013727958e-05,-0.00012126926198121578,-4.253918865005855e-05,-0.0002583508030511439,-1.1162081818838487e-06,-6.584364044715817e-09,-9.156252895058355e-07,-1.8200580121819623e-05
17,3.119711720633486e-08,0.04795171176657542,0.049994294007866494,-1.8850153219362664e-05,-0.0001202540179347225,-4.707924450605538e-05,-0.00025014099082909524,-9.447612683288753e-07,-7.376633077165887e-09,-8.283913778884671e-07,-2.091465978217808e-05
18,3.2500889259966325e-08,0.047935947596073086,0.049994741043125644,-1.7411787643700126e-05,-0.00011919265020223947,-5.168010948938267e-05,-0.00024392826890107244,-7.612779313603824e-07,-8.362620126101443e-09,-7.34469126874803e-07,-2.3808044851704185e-05
19,3.3855778314944026e-08,0.047927547795666214,0.049995155021174326,-1.5887654537361775e-05,-0.0001181782126168324,-5.6318520006503405e-05,-0.00023916449572425336,-5.903436886001145e-07,-9.551479486026618e-09,-6.378839280222433e-07,-2.6880092599292112e-05
20,3.526371608475559e-08,0.047921764632005766,0.049995537003285434,-1.4321483462790747e-05,-0.0001172746901086456,-6.09701559517522e-05,-0.00023530992621090263,-4.483752604755864e-07,-1.0950654998711209e-08,-5.420096041616522e-07,-3.0130844023069444e-05
21,3.672665861380678e-08,0.04791582978960904,0.04999588827401884,-1.2753177942356247e-05,-0.00011651924980342077,-6.561020224118185e-05,-0.00023190805222839117,-3.393958252217999e-07,-1.2564924759406536e-08,-4.4961610356426055e-07,-3.3560858232695954e-05
22,3.8246657925000283e-08,0.047908578453020045,0.04999621030922781,-1.1217250983792973e-05,-0.00011592804828530386,-7.02141219910355e-05,-0.00022863845515530556,-2.598367530026735e-07,-1.4394684844954412e-08,-3.629175450298805e-07,-3.7171066582489095e-05
23,3.9825983906202665e-08,0.047899905238873955,0.04999650472899882,-9.741985842807693e-06,-0.00011550239152149877,-7.475852874638742e-05,-0.00022529154375661165,-2.0406403677952767e-07,-1.643518274749917e-08,-2.836270350287966e-07,-4.0962628465575864e-05
24,4.1467165138785647e-08,0.04789032704939224,0.04999677324678948,-8.349473415240404e-06,-0.00011523091904159111,-7.922132872684507e-05,-0.00022175021877046674,-1.6591872054050327e-07,-1.8676109912935088e-08,-2.1301475252317517e-07,-4.493677889258192e-05
25,4.3172984463349165e-08,0.0478807088248464,0.049997017622140615,-7.056078040244278e-06,-0.0001150931078421523,-8.358080727481801e-05,-0.0002179531438741833,-1.4069324549836892e-07,-2.1097939941349145e-08,-1.5197021315253113e-07,-4.909467627307134e-05
26,4.494679928689949e-08,0.047872221247544255,0.04999723962395593,-5.872961420062577e-06,-0.00011506165798262508,-8.781622137092268e-05,-0.00021389043831732124,-1.2435852170256112e-07,-2.3665114022273896e-08,-1.0105660489715882e-07,-5.343725691795508e-05
27,4.679246644428442e-08,0.04786623672077298,0.04999744100725245,-4.806709834543157e-06,-0.00011510462896615948,-9.191080921059985e-05,-0.00020957074593752623,-1.1407028210896897e-07,-2.6346599150720016e-08,-6.055935938098351e-08,-5.796510123406989e-05
28,4.871397104418489e-08,0.04786390501785213,0.04999762347716178,-3.859747635366652e-06,-0.00011518904130198459,-9.585172927704748e-05,-0.00020503850828390568,-1.0749950263289065e-07,-2.9114238287891704e-08,-3.053017378783406e-08,-6.267833670331493e-05
29,5.0715614051427736e-08,0.047866140962896736,0.04999778865636024,-3.031362898052788e-06,-0.00011528231034332048,-9.962885103577079e-05,-0.00020033586770296097,-1.0335997302490796e-07,-3.194043224742397e-08,-1.0831485697796583e-08,-6.757656749060004e-05
30,5.2802079482202106e-08,0.04787366928519249,0.04999793806765489,-2.3185033633819826e-06,-0.00011535439721005038,-0.00010323453566935227,-0.0001955123443622142,-1.0063380528890775e-07,-3.480481225511509e-08,-1.178937719865846e-09,-7.265882461525016e-05
31,5.497866856626141e-08,0.047887052922115037,0.04999807312658963,-1.7163794823203441e-06,-0.0001153779416541917,-0.00010666325229026708,-0.00019065133528783917,-9.793611610575681e-08,-3.7682388832561916e-08,-1.1776901413457175e-09,-7.792356796560476e-05
32,5.725153514476362e-08,0.04790667301769289,0.04999819514018889,-1.2188244441961627e-06,-0.00011533247117487447,-0.00010991062235942804,-0.00018576944421511143,-9.58840260523175e-08,-4.0550819304770517e-08,-1.035309368991684e-08,-8.336870266237e-05
33,5.962750550111468e-08,0.04793278970174298,0.04999830530979556,-8.187825697566884e-07,-0.00011520014173216503,-0.00011297411695486805,-0.0001809289096854627,-9.313954052458939e-08,-4.3381563364933935e-08,-2.817556452293276e-08,-8.899159718407022e-05
34,6.211445267807454e-08,0.04796549090154373,0.04999840473540032,-5.084458787234401e-07,-0.00011496896525671375,-0.00011585127442944636,-0.00017611663497518748,-9.097942665903247e-08,-4.616917936593253e-08,-5.408006501468134e-08,-9.478908118625592e-05
35,6.472103381140797e-08,0.04800478873417441,0.04999849442194762,-2.7979042392889677e-07,-0.0001146267302076466,-0.00011854151387854593,-0.00017146629397757351,-8.639794657483435e-08,-4.888393259392731e-08,-8.748159301076676e-08,-0.00010075755095655117
36,6.745752199667245e-08,0.04805044373787848,0.04999857528603395,-1.244357262765452e-07,-0.000114174687895827,-0.00012104421432002618,-0.00016689336916897446,-8.36293878592187e-08,-5.150519349423221e-08,-1.2778674150691821e-07,-0.00010689305239915153
37,7.033482115234426e-08,0.04810220656819138,0.04999864816254363,-3.410166764729982e-08,-0.00011360951375519772,-0.00012335939727958433,-0.00016247283201664686,-7.920888123180703e-08,-5.401309797148856e-08,-1.7440237931131643e-07,-0.00011319124925236165
38,7.336513009410112e-08,0.048159623711188766,0.04999871381192389,-6.163831768545063e-10,-0.00011293191094501428,-0.0001254877209957934,-0.00015815462393220514,-7.607789598296222e-08,-5.639241049386795e-08,-2.2674293552761278e-07,-0.00011964745854378128
39,7.656184551020831e-08,0.04822225500996265,0.049998772926012056,-1.605221427942148e-08,-0.00011214265635913388,-0.00012742982630714657,-0.0001539753284305334,-7.21526944857942e-08,-5.8624465151436404e-08,-2.842352906658994e-07,-0.000126256692194599
40,7.993970214138195e-08,0.04828952239748389,0.04999882613399796,-7.283271421593238e-08,-0.00011124618767791113,-0.00012918697855367558,-0.00014992640353739262,-6.865091251029298e-08,-6.069358295315952e-08,-3.4632193956364197e-07,-0.00013301370348267128
41,8.351484057521586e-08,0.04836081281356569,0.04999887400846256,-1.6379518304688663e-07,-0.00011024650997707113,-0.0001307605725202016,-0.0001459968334529549,-6.53541150086312e-08,-6.25862881555928e-08,-4.124638251371631e-07,-0.0001399129830504687
42,8.730479585397614e-08,0.048435452387077776,0.04999891707058391,-2.822442597123276e-07,-0.00010914750961438286,-0.00013215205901919518,-0.00014218252908904105,-6.231893934227628e-08,-6.429076647348012e-08,-4.821426561877796e-07,-0.0001469487698252978
43,9.132867941740819e-08,0.048512752470407594,0.04999895579518831,-4.219735157883551e-07,-0.00010795354260875361,-0.00013336369860013372,-0.0001384764036629349,-5.966377614186058e-08,-6.579761097505527e-08,-5.548623879818695e-07,-0.00015411505958377164
44,9.560736785568319e-08,0.04859201291106713,0.049998990614751604,-5.773673142606741e-07,-0.00010666855705694933,-0.00013439728364172946,-0.00013486811076290905,-5.7306674960955206e-08,-6.709899957170472e-08,-6.301500689473126e-07,-0.00016140560414293099
45,1.001634279110691e-07,0.048672534691502616,0.04999902192337727,-7.433162943535447e-07,-0.00010529632636531973,-0.00013525510795855437,-0.00013134993787389249,-5.528382374109242e-08,-6.818990576621531e-08,-7.075563342386324e-07,-0.00016881390504328985
