frame,torque_per_frame
0,107.49737538656812
1,102.08434877919271
2,96.19164207328014
3,91.30601811291999
4,86.83499007622714
5,82.97469803749686
6,79.6331939893694
7,113.50023940258235
8,74.26592275877991
9,71.90127511083415
10,69.94196785021592
11,68.16009125806139
12,66.6232468536299
13,65.22157903699909
14,64.04704561624727
15,63.03306575361816
16,62.16575774400647
17,61.43423017678066
18,60.80818011106884
19,60.28071592569643
20,59.84792228850181
21,59.50344957326334
22,59.23865855624852
23,59.044271539645315
24,58.91110707720806
25,58.829904992334846
26,58.79143132875993
27,58.7875817793616
28,58.81092645142067
29,58.84963033150231
30,58.92223777061332
31,59.003998687594645
32,59.0999104584061
33,59.17714931991161
34,59.32650540115108
35,59.61708206829175
36,60.04304899527277
37,60.49520917173953
38,60.95789899962729
39,61.41550261493448
40,61.87097670284763
41,62.32284795674551
42,62.770652136514194
43,63.210872085561014
44,63.64441474352188
45,64.06998812217259
46,64.48794208162245
47,64.90077266040382
48,65.30831557402954
49,65.71241005391367
50,66.03950467338126
51,66.39760731483429
52,66.74324328773505
53,67.05721191192816
54,67.39266961566416
55,67.69681774732167
56,67.98795979196623
57,68.26506933422807
58,68.52772227678885
59,68.78015618663275
60,69.01359507949277
61,69.23720138113524
62,69.44707196239544
63,69.64393426192119
64,69.82938443685777
65,70.00487112620719
66,70.17043658211682
67,70.32436662570584
68,70.46270838437967
69,70.58598885860111
70,70.70209797776545
71,70.8115419881511
72,70.90554779618984
73,71.0036936952422
74,71.08892660849683
75,71.18241371144074
76,71.22732325985136
77,71.29759021089448
78,71.34996009388712
79,71.36206314626378
80,71.4641009755183
81,71.48961096614607
82,71.53185202103546
83,71.5668513407845
84,71.63870646746247
85,71.62543253058021
86,71.6524074267123
87,71.67915367049909
88,71.7082309186286
89,71.72905793907455
90,71.76174603314692
91,71.78092592929679
92,71.81020092697986
93,71.84166856240081
94,71.8793956919265
95,71.91867919321959
96,71.96268698621178
97,72.01290216504884
98,72.0726751687923
99,72.13135542269852
100,72.19135541969906
101,72.28255720371047
102,72.37451041997474
103,72.4690859512935
104,72.58535339789162
105,72.71931275923384
106,72.86468544121448
107,73.01939278543449
108,73.18730435353697
109,73.37127691490059
110,73.56014030535512
111,73.56453696747117
112,73.84877578311347
113,73.67277304067653
114,73.7039882059189
115,74.22263412561946
116,74.45507798395366
117,74.67398479671577
118,74.88625177464115
119,75.06847172285588
120,75.21872014664717
121,75.3394439197537
122,75.42986547743934
123,75.4880688935805
124,75.49938794752569
125,75.52803367658919
126,75.50587338892478
127,75.45034780540468
128,75.39071102762892
129,75.32216565399949
130,75.22410147476427
131,75.11112738903907
132,74.98493050333641
133,74.8122932412715
134,74.69928617595082
135,74.52238018048342
136,74.37794571135218
137,74.20137465641211
138,74.0300509225668
139,73.84901141661963
140,73.60973313019366
141,73.46258875035582
142,73.28285643650648
143,73.09506807608878
144,72.90486777599105
145,72.71440403633824
146,72.52459362748499
147,72.33574279958452
148,72.14887056813686
149,71.96419365043059
150,71.78224929532982
151,71.60336393343134
152,71.42757361266541
153,71.25547301121492
154,71.08723366446816
155,70.92291533325188
156,70.76287202670733
157,70.6068380064917
158,70.45518113928259
159,70.30796988652509
160,70.16529089788823
161,70.02737406189645
162,69.89390011769922
163,69.76497304562201
164,69.64896857525684
165,69.53086547978546
166,69.41826676271558
167,69.30655116927196
168,69.21233735322572
169,69.10848770251434
170,69.00637910499921
171,68.91040419673303
172,68.82056979471272
173,68.73379054454612
174,68.65186704729553
175,68.55530718104711
176,68.49876482841975
177,68.44968567968827
178,68.35811566942311
179,68.29996435363219
180,68.23277168929835
181,68.17396928637841
182,68.14255161568423
183,68.06515065590884
184,68.01493816899844
185,67.96799971734366
186,67.92216678330472
187,67.87887117151837
188,67.8396736187172
189,67.8041928298579
190,67.76581113867965
191,67.7125748489542
192,67.70233166993367
193,67.66781590680802
194,67.64688871573625
195,67.62220461529319
196,67.59856905371734
197,67.57873000546012
198,67.55928815809476
199,67.5433932737735
200,67.52842197078829
201,67.51519654024393
202,67.5039682047959
203,67.49435153656114
204,67.48673824143653
205,67.4768623842011
206,67.48195270891482
207,67.47456733993369
208,67.47326102530313
209,67.47526404368487
210,67.47438045958512
211,67.48101708118831
212,67.48138786968325
213,67.49667347522612
214,67.50584324378401
215,67.5145684896514
216,67.52672684803052
217,67.54173765613783
218,67.57595664460617
219,67.57363752523113
220,67.59272990025295
221,67.61342957683095
222,67.63621976092261
223,67.66067172900327
224,67.68713451670205
225,67.71569181626475
226,67.74621247683845
227,67.77695184497497
228,67.84645261651507
229,67.84323981728815
230,67.88371534578556
231,67.91617868100201
232,67.96566289427011
233,68.0141623149969
234,68.06350902413456
235,68.11170574585634
236,68.16102823538321
237,68.21260636761033
238,68.26669239995736
239,68.32383021098781
240,68.38396688283328
241,68.4390066815625
242,68.51419213342749
243,68.58315309105271
244,68.65523133767675
245,68.73057638488086
246,68.8129669521687
247,68.93054546861046
248,68.9699305005156
249,69.06924667130909
250,69.14574991623418
251,69.23396823995787
252,69.31703434907129
253,69.42198805204967
254,69.51856098831783
255,69.61964656634224
256,69.71807727313285
257,69.81850969427738
258,69.94115336668747
259,70.02357476060419
260,70.16123320164039
261,70.30704755831286
262,70.43567062601232
263,70.56658121683239
264,70.6973332348573
265,70.81936909808962
266,70.92411406066334
267,71.06317059282046
268,71.19527222408533
269,71.28124115520956
270,71.37619103348807
271,71.45451480794067
272,71.54679662438517
273,71.60073107262849
274,71.68440406900814
275,71.73887356197619
276,71.78385471318124
277,71.8725111960299
278,71.8441502364837
279,71.85958048128819
280,71.86519962116455
281,71.86091901064648
282,71.85250525108015
283,71.86185574345734
284,71.85793301634486
285,71.83958185529386
286,71.80558141432084
287,71.75194411905196
288,71.69021481907788
289,71.62861265211592
290,71.57070512657393
291,71.5894600669393
292,71.55317709106436
293,71.52289506666685
294,71.4384738410991
295,71.35383060740838
296,71.25585313146313
297,71.14668846538058
298,71.02858351548949
299,70.90293265560652
300,70.77133650477934
301,70.63449939637184
302,70.4933072869329
303,70.3485162569339
304,70.21043838504075
