frame,orientation_xy_error
0,-4.536536904755738e-06
1,-2.1488060584358224e-06
2,6.459566672586235e-06
3,-3.650423132766003e-06
4,7.522529850166045e-05
5,4.933291992990131e-06
6,0.00020896338134729153
7,2.3898719734320415e-05
8,0.00039317772760788413
9,4.6969474358581905e-05
10,0.0006200161372697569
11,7.112966710119808e-05
12,0.0008835040785423532
13,9.445581114157073e-05
14,0.0011770023528953108
15,0.00011514269496844498
16,0.001493291392162337
17,0.00013146409967402918
18,0.001825379342278355
19,0.00014172593331007364
20,0.002166660209710051
21,0.00014438767217594161
22,0.0025110137132837375
23,0.0001381046319021066
24,0.002852938184496919
25,0.00012175930236368128
26,0.003187630672969077
27,9.447293240571373e-05
28,0.00351104065952119
29,5.5606435170389065e-05
30,0.003819872417959039
31,4.753347560204219e-06
32,0.004111540742132611
33,-5.8279225748749354e-05
34,0.004384083965945258
35,-0.00013349338932914094
36,0.004636076956419147
37,-0.00022072718925499163
38,0.004866551326468727
39,-0.0003196834345497528
40,0.005074902348712369
41,-0.00042995641225374156
42,0.005260808284542435
43,-0.000551059256678087
44,0.005424178397800342
45,-0.0006824416829770419
46,0.005565117214530036
47,-0.000823506446421384
48,0.005683880875423431
49,-0.000973622211144764
50,0.005780837692187397
51,-0.001132136299760896
52,0.005856440011469086
53,-0.001298385196005614
54,0.005911202129521092
55,-0.0014717023169893973
56,0.005945683559742559
57,-0.00165142570004568
58,0.005960471795785616
59,-0.001836902822163265
60,0.005956167080885445
61,-0.0020274958062636993
62,0.005933370462899805
63,-0.00222258538607844
64,0.0058926757040773615
65,-0.002421574278183969
66,0.005834668301339895
67,-0.002623889424565305
68,0.0057599255010426995
69,-0.002828983319739984
70,0.0056690120995536285
71,-0.003036335026417011
72,0.0055624859840647045
73,-0.0032454517601129126
74,0.005440905604894688
75,-0.003455868306662415
76,0.005304826666658817
77,-0.0036671473430381564
78,0.005154800596467236
79,-0.0038788801586605846
80,0.004991374807592086
81,-0.004090684902668352
82,0.004815095163276933
83,-0.004302206467414496
84,0.004626507201334749
85,-0.004513115996923435
86,0.004426156701123019
87,-0.004723110433429329
88,0.004214589861300182
89,-0.004931911559207379
90,0.003992353059028397
91,-0.005139265092259061
92,0.0037599927117285075
93,-0.005344940164998119
94,0.003518055550834442
95,-0.005548728334613187
96,0.003267088243176225
97,-0.005750442682791195
98,0.0030076369091858583
99,-0.0059499170704248915
100,0.0027402477787257817
101,-0.006147005465498062
102,0.002465477223943898
103,-0.00634158203016822
104,0.0021838746205424726
105,-0.0065335374494035784
106,0.001895963734498798
107,-0.006722779850957488
108,0.001602265512273806
109,-0.006909234756514211
110,0.0013033112457754232
111,-0.007092841616978204
112,0.000999634182723398
113,-0.00727355663158848
114,0.0006917623252016581
115,-0.007451351756759245
116,0.0003802158556752837
117,-0.00762621160814048
118,6.55073060826642e-05
119,-0.007798134031296443
120,-0.0002518566225491553
121,-0.007967129415131252
122,-0.0005713754615957405
